HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR;B365H;B365D;B365A;BWH;BWD;BWA;PSH;PSD;PSA;MaxH;MaxD;MaxA;AvgH;AvgD;AvgA
Valencia;Getafe;1;0;H;1;0;H;4;22;2;4;24;15;1;9;6;3;1;1;255;3;31;265;3;295;27;303;311;273;32;323;264;301;306
Girona;Levante;1;1;D;0;1;A;7;12;2;3;10;16;2;4;1;5;0;0;28;325;26;28;33;255;286;328;273;288;336;276;278;323;266
Mallorca;Betis;1;1;D;1;0;H;6;10;2;1;12;18;4;3;1;3;0;0;33;34;22;34;325;225;351;335;228;351;346;231;338;329;224
Alaves;Real Madrid;1;4;A;0;0;D;11;19;4;7;14;10;0;4;1;2;0;0;7;475;144;675;475;145;748;464;148;76;478;152;708;457;146
Osasuna;Espanol;0;0;D;0;0;D;14;10;1;3;18;12;4;6;3;3;0;0;225;32;34;22;33;34;234;335;337;235;339;35;229;326;331
Celta;Ath Madrid;1;2;A;0;1;A;10;13;2;4;11;9;2;5;4;5;1;1;42;34;19;44;31;2;441;325;205;465;341;206;417;325;201
Barcelona;Sociedad;4;2;H;2;0;H;13;11;8;3;11;18;5;3;2;4;0;0;172;4;45;172;42;425;175;42;462;18;43;469;174;406;444
Sevilla;Vallecano;3;0;H;1;0;H;21;4;8;3;14;7;4;0;1;0;0;1;144;42;8;142;46;775;144;468;837;148;49;837;144;454;76
Villarreal;Oviedo;0;0;D;0;0;D;14;6;4;1;19;21;6;2;5;1;1;0;153;42;65;15;44;65;156;435;651;16;451;675;154;424;625
Elche;Ath Bilbao;0;0;D;0;0;D;8;9;2;3;13;19;6;8;2;2;0;0;38;33;205;38;33;205;393;336;213;394;347;216;378;33;209
Betis;Girona;1;1;D;1;1;D;16;8;7;3;12;10;4;5;4;0;0;0;15;42;7;153;41;65;152;44;709;157;45;711;152;43;669
Alaves;Mallorca;0;1;A;0;0;D;9;12;4;2;14;15;1;8;3;3;1;0;225;32;34;225;32;34;232;326;351;244;33;359;23;319;336
Espanol;Villarreal;0;0;D;0;0;D;14;12;3;2;10;10;9;7;3;4;0;0;31;34;23;3;34;235;315;351;238;32;355;248;307;338;236
Oviedo;Valencia;1;1;D;1;0;H;9;18;2;7;14;12;2;6;4;2;0;0;245;34;287;25;33;285;259;333;298;263;34;304;253;325;292
Ath Bilbao;Barcelona;1;1;D;0;0;D;16;9;7;3;15;10;13;2;1;2;0;1;4;375;185;39;375;19;433;366;193;45;389;196;414;363;19
Sociedad;Vallecano;1;0;H;0;0;D;13;9;8;1;19;15;5;4;3;4;0;0;144;433;75;15;41;725;147;457;802;15;46;83;147;438;733
Ath Madrid;Elche;1;0;H;1;0;H;8;4;4;2;16;10;2;1;2;2;0;0;122;575;17;122;625;15;122;651;1995;128;681;1995;123;607;158
Levante;Real Madrid;3;3;D;0;1;A;8;19;4;5;17;7;4;6;3;2;1;0;5;433;16;525;42;162;505;432;168;525;45;172;497;423;165
Getafe;Sevilla;0;1;A;0;0;D;12;9;0;3;18;10;5;4;2;2;0;0;35;32;22;35;31;225;364;323;228;369;328;231;349;314;226
Osasuna;Celta;0;0;D;0;0;D;15;4;7;0;19;8;1;2;4;3;0;0;262;325;275;27;32;275;277;321;287;28;343;298;266;319;28
Mallorca;Espanol;1;0;H;1;0;H;12;8;6;3;16;17;3;2;4;3;0;1;26;29;31;27;285;3;269;299;317;272;309;32;264;295;308
Valencia;Alaves;3;0;H;2;0;H;9;10;4;3;20;15;4;4;1;4;0;0;175;36;475;178;36;475;178;361;544;185;372;551;178;358;502
Celta;Ath Bilbao;0;1;A;0;1;A;13;6;0;2;12;11;5;4;2;1;0;0;24;32;31;245;32;3;254;324;313;255;338;317;248;32;305
Elche;Sevilla;1;1;D;1;1;D;7;18;4;5;6;9;5;3;2;0;0;0;5;36;172;55;34;175;55;348;18;56;36;182;524;346;177
Sociedad;Levante;1;0;H;1;0;H;7;6;2;0;17;13;2;2;1;1;0;0;153;42;6;155;425;6;158;429;633;163;438;65;157;42;594
Betis;Real Madrid;0;1;A;0;0;D;11;13;6;3;15;13;3;7;5;3;0;0;42;38;18;433;39;178;432;388;187;44;4;19;421;384;184
Barcelona;Getafe;2;1;H;2;1;H;7;8;3;3;16;22;3;2;3;1;0;0;14;475;75;14;475;825;14;489;926;143;52;95;14;483;836
Girona;Osasuna;2;3;A;1;0;H;7;14;3;4;9;6;4;11;4;0;0;0;32;3;245;3;3;26;33;315;249;334;322;261;315;307;25
Vallecano;Oviedo;4;0;H;3;0;H;19;9;6;3;19;14;5;6;1;4;0;0;255;32;287;25;325;295;263;33;295;27;332;312;259;32;289
Ath Madrid;Villarreal;2;2;D;0;0;D;24;2;5;2;11;6;16;0;4;2;0;0;175;34;525;175;34;55;178;352;568;185;352;573;178;341;528
Levante;Vallecano;1;1;D;1;0;H;7;22;2;6;14;16;2;5;3;4;0;0;21;34;35;205;34;35;213;353;371;217;355;375;21;344;36
Ath Bilbao;Mallorca;2;0;H;0;0;D;19;7;5;1;7;13;7;2;1;2;0;0;172;36;525;172;35;5;174;376;552;179;376;578;174;362;517
Espanol;Ath Madrid;1;2;A;1;0;H;9;13;3;3;10;11;6;3;1;4;0;0;433;33;19;41;33;191;438;353;195;47;353;202;426;338;195
Osasuna;Valencia;1;4;A;1;1;D;11;10;2;4;20;14;4;4;4;2;0;0;24;32;31;235;31;31;25;317;326;261;332;33;247;314;311
Girona;Sociedad;0;2;A;0;0;D;6;16;1;4;10;9;2;8;4;0;1;0;5;36;175;525;33;172;567;35;178;57;38;182;525;352;175
Real Madrid;Celta;5;2;H;1;2;A;15;11;11;4;8;16;7;3;2;3;0;0;136;525;8;136;525;7;138;548;84;143;56;88;137;525;797
Getafe;Elche;0;1;A;0;0;D;10;8;1;3;6;14;8;2;2;3;0;0;18;34;475;18;325;475;187;348;494;191;354;52;184;336;487
Oviedo;Betis;1;2;A;0;1;A;11;19;2;9;7;14;6;8;1;2;0;0;31;325;237;3;33;23;313;338;246;317;346;249;306;33;241
Celta;Girona;1;2;A;0;2;A;14;7;4;3;8;8;7;1;3;3;0;0;145;433;7;15;42;7;152;432;742;157;44;75;151;428;699
Vallecano;Getafe;3;0;H;1;0;H;11;13;5;3;20;16;5;3;6;7;0;0;237;29;34;245;295;33;25;302;343;257;311;344;248;298;328
Ath Madrid;Ath Bilbao;0;0;D;0;0;D;14;6;2;0;10;13;5;5;6;2;1;0;165;36;6;172;33;6;167;365;656;174;369;656;168;357;594
Elche;Levante;1;1;D;1;0;H;9;11;2;6;10;14;4;7;2;2;0;0;24;31;32;24;31;32;252;318;322;256;32;325;247;313;314
Alaves;Osasuna;0;2;A;0;2;A;8;13;3;5;11;14;2;8;4;3;0;0;31;3;255;3;3;26;31;313;263;315;331;265;305;307;257
Mallorca;Villarreal;0;0;D;0;0;D;10;11;1;3;11;16;3;1;2;3;0;0;35;3;23;35;3;23;362;32;231;377;326;24;347;313;229
Sociedad;Sevilla;0;0;D;0;0;D;11;11;4;4;16;11;5;6;2;3;0;0;255;32;287;27;31;28;276;32;289;276;339;308;263;319;285
Betis;Espanol;2;2;D;2;1;H;23;11;9;4;13;9;10;4;4;4;1;0;2;32;42;205;34;37;206;343;406;207;345;428;202;333;398
Valencia;Real Madrid;1;2;A;0;0;D;12;18;4;10;14;14;2;5;1;5;0;0;38;38;19;375;38;191;378;402;196;398;402;201;376;382;195
Barcelona;Oviedo;1;1;D;0;1;A;17;5;6;2;15;20;12;4;3;6;0;0;128;575;10;128;6;10;129;596;1235;134;615;1235;129;583;1053
Getafe;Ath Madrid;1;2;A;1;0;H;7;12;2;4;15;11;2;5;4;5;1;0;6;35;166;6;34;17;653;354;17;69;36;187;619;347;169
